Name of Python Repo,Last Commit Date
500lines,2015-09
adventofcode2015,2016-01
adventofcode2016,2017-12
adventofcode2017,2017-12
attrs,2017-09
bigo,2018-05
bitbucket-issue-migration,2018-06
blank_prz,2018-05
blogtools,2018-05
blowyournose,2016-10
byterun,2016-11
choosy,2012-08
cookiecutter-djangopackage,2017-10
coveragepy,2018-07
coveragepy-bbmirror,2018-06
cpython,2017-11
cupid,2015-08
django_coverage_plugin,2017-11
django_issue_25793,2015-11
doc8,2017-01
dot,2018-07
help-tokens,2017-04
injectx,2015-08
isect_segments-bentley_ottmann,2017-07
iter,2017-03
